Versión, Fecha de lanzamiento
Python 1.0,Enero 1994
Python 1.5,Diciembre 1997
Python 1.6,Septiembre 2000
Python 2.0,Octubre 2000
Python 2.1,Abril 2001
Python 2.2,Diciembre 2001
Python 2.3,Julio 2003
Python 2.4,Noviembre 2004
Python 2.5,Septiembre 2006
Python 2.6,Octubre 2008
Python 2.7,Julio 2010
**Python 3.0**,**Diciembre 2008**
Python 3.1,Junio 2009
Python 3.2,Febrero 2011
Python 3.3,Septiembre 2012
Python 3.4,Marzo 2014
Python 3.5,Septiembre 2015
Python 3.6,Diciembre 2016
Python 3.7,Junio 2018
Python 3.8,Octubre 2019
Python 3.9,Octubre 2020
Python 3.10,Octubre 2021
Python 3.11,Octubre 2022
*Python 3.12*,*Octubre 2023* ?
