Company,Revenue,Employees,City,Country
Amazon,574.8,1525000,Seattle,United States
Apple,394.33,164000,Cupertino,United States
Alphabet,282.84,190234,Mountain View,United States
Samsung Electronics,234.13,270372,Suwon,South Korea
Foxconn,222.54,767062,New Taipei City,Taiwan
Microsoft,198.27,221000,Redmond,United States
Jingdong,152.8,310000,Beijing,China
Alibaba,130.35,204891,Yuhang,China
AT&T,122.4,149900,Dallas,United States
Meta,116.61,86482,Menlo Park,United States
Deutsche Telekom,112.0,205000,Bonn,Germany
Dell Technologies,102.30,133000,Round Rock,United States
Huawei,95.49,207000,Shenzhen,China
Sony,85.25,112994,Tokyo,Japan
Tencent,82.44,108436,Shenzhen,China
Hitachi,80.39,322525,Tokyo,Japan
TSMC,76.02,73090,New Taipei City,Taiwan
LG Electronics,64.95,74000,Seoul,South Korea
Intel,63.05,131900,Santa Clara,United States
HP Inc.,62.98,53000,Palo Alto,United States
Lenovo,61.95,71500,Hong Kong,Hong Kong
Panasonic,61.90,233391,Osaka,Japan
Accenture,61.59,721000,Dublin,Ireland
Nvidia,60.93,29600,Santa Clara,United States
IBM,60.53,303100,Armonk,United States
