Company	Revenue	Employees	City	Country
Apple	274515	147000	California	United States
Samsung Electronics	200734	267937	Suwon	South Korea
Alphabet	182527	135301	California	United States
Foxconn	181945	878429	New Taipei City	Taiwan
Microsoft	143015	163000	Washington	United States
Huawei	129184	197000	Shenzhen	China
Dell Technologies	92224	158000	Texas	United States
Facebook	85965	58604	California	United States
Sony	84893	109700	Tokyo	Japan
Hitachi	82345	350864	Tokyo	Japan
Intel	77867	110600	California	United States
IBM	73620	364800	New York	United States
Tencent	69864	85858	Shenzhen	China
Panasonic	63191	243540	Osaka	Japan
Lenovo	60742	71500	Hong Kong	China
HP Inc.	56639	53000	California	United States
LG Electronics	53625	75000	Seoul	South Korea
